doc_id,title,department,year,region,text
D001,"Document Title D001 (legal)",legal,2020,europe,"This is the body text of document D001 in department legal for region europe and year 2020."
D002,"Document Title D002 (hr)",hr,2024,latin_america,"This is the body text of document D002 in department hr for region latin_america and year 2024."
D003,"Document Title D003 (marketing)",marketing,2020,europe,"This is the body text of document D003 in department marketing for region europe and year 2020."
D004,"Document Title D004 (legal)",legal,2025,europe,"This is the body text of document D004 in department legal for region europe and year 2025."
D005,"Document Title D005 (sales)",sales,2022,north_america,"This is the body text of document D005 in department sales for region north_america and year 2022."
D006,"Document Title D006 (legal)",legal,2023,asia_pacific,"This is the body text of document D006 in department legal for region asia_pacific and year 2023."
D007,"Document Title D007 (finance)",finance,2022,latin_america,"This is the body text of document D007 in department finance for region latin_america and year 2022."
D008,"Document Title D008 (sales)",sales,2026,asia_pacific,"This is the body text of document D008 in department sales for region asia_pacific and year 2026."
D009,"Document Title D009 (legal)",legal,2026,europe,"This is the body text of document D009 in department legal for region europe and year 2026."
D010,"Document Title D010 (engineering)",engineering,2020,europe,"This is the body text of document D010 in department engineering for region europe and year 2020."
D011,"Document Title D011 (legal)",legal,2020,asia_pacific,"This is the body text of document D011 in department legal for region asia_pacific and year 2020."
D012,"Document Title D012 (hr)",hr,2024,asia_pacific,"This is the body text of document D012 in department hr for region asia_pacific and year 2024."
D013,"Document Title D013 (finance)",finance,2026,north_america,"This is the body text of document D013 in department finance for region north_america and year 2026."
D014,"Document Title D014 (sales)",sales,2023,latin_america,"This is the body text of document D014 in department sales for region latin_america and year 2023."
D015,"Document Title D015 (sales)",sales,2025,north_america,"This is the body text of document D015 in department sales for region north_america and year 2025."
D016,"Document Title D016 (finance)",finance,2026,asia_pacific,"This is the body text of document D016 in department finance for region asia_pacific and year 2026."
D017,"Document Title D017 (sales)",sales,2021,north_america,"This is the body text of document D017 in department sales for region north_america and year 2021."
D018,"Document Title D018 (engineering)",engineering,2026,latin_america,"This is the body text of document D018 in department engineering for region latin_america and year 2026."
D019,"Document Title D019 (sales)",sales,2024,north_america,"This is the body text of document D019 in department sales for region north_america and year 2024."
D020,"Document Title D020 (engineering)",engineering,2021,latin_america,"This is the body text of document D020 in department engineering for region latin_america and year 2021."
D021,"Document Title D021 (finance)",finance,2020,latin_america,"This is the body text of document D021 in department finance for region latin_america and year 2020."
D022,"Document Title D022 (finance)",finance,2021,asia_pacific,"This is the body text of document D022 in department finance for region asia_pacific and year 2021."
D023,"Document Title D023 (sales)",sales,2020,europe,"This is the body text of document D023 in department sales for region europe and year 2020."
D024,"Document Title D024 (engineering)",engineering,2020,asia_pacific,"This is the body text of document D024 in department engineering for region asia_pacific and year 2020."
D025,"Document Title D025 (sales)",sales,2021,asia_pacific,"This is the body text of document D025 in department sales for region asia_pacific and year 2021."
D026,"Document Title D026 (engineering)",engineering,2022,europe,"This is the body text of document D026 in department engineering for region europe and year 2022."
D027,"Document Title D027 (legal)",legal,2022,north_america,"This is the body text of document D027 in department legal for region north_america and year 2022."
D028,"Document Title D028 (engineering)",engineering,2023,europe,"This is the body text of document D028 in department engineering for region europe and year 2023."
D029,"Document Title D029 (finance)",finance,2023,asia_pacific,"This is the body text of document D029 in department finance for region asia_pacific and year 2023."
D030,"Document Title D030 (finance)",finance,2025,asia_pacific,"This is the body text of document D030 in department finance for region asia_pacific and year 2025."
D031,"Document Title D031 (engineering)",engineering,2023,europe,"This is the body text of document D031 in department engineering for region europe and year 2023."
D032,"Document Title D032 (finance)",finance,2023,asia_pacific,"This is the body text of document D032 in department finance for region asia_pacific and year 2023."
D033,"Document Title D033 (sales)",sales,2021,north_america,"This is the body text of document D033 in department sales for region north_america and year 2021."
D034,"Document Title D034 (engineering)",engineering,2020,asia_pacific,"This is the body text of document D034 in department engineering for region asia_pacific and year 2020."
D035,"Document Title D035 (engineering)",engineering,2022,latin_america,"This is the body text of document D035 in department engineering for region latin_america and year 2022."
D036,"Document Title D036 (sales)",sales,2025,latin_america,"This is the body text of document D036 in department sales for region latin_america and year 2025."
D037,"Document Title D037 (finance)",finance,2026,north_america,"This is the body text of document D037 in department finance for region north_america and year 2026."
D038,"Document Title D038 (engineering)",engineering,2021,asia_pacific,"This is the body text of document D038 in department engineering for region asia_pacific and year 2021."
D039,"Document Title D039 (legal)",legal,2025,asia_pacific,"This is the body text of document D039 in department legal for region asia_pacific and year 2025."
D040,"Document Title D040 (sales)",sales,2020,asia_pacific,"This is the body text of document D040 in department sales for region asia_pacific and year 2020."
D041,"Document Title D041 (engineering)",engineering,2020,europe,"This is the body text of document D041 in department engineering for region europe and year 2020."
D042,"Document Title D042 (marketing)",marketing,2023,europe,"This is the body text of document D042 in department marketing for region europe and year 2023."
D043,"Document Title D043 (legal)",legal,2022,europe,"This is the body text of document D043 in department legal for region europe and year 2022."
D044,"Document Title D044 (legal)",legal,2023,asia_pacific,"This is the body text of document D044 in department legal for region asia_pacific and year 2023."
D045,"Document Title D045 (legal)",legal,2023,latin_america,"This is the body text of document D045 in department legal for region latin_america and year 2023."
D046,"Document Title D046 (marketing)",marketing,2026,europe,"This is the body text of document D046 in department marketing for region europe and year 2026."
D047,"Document Title D047 (finance)",finance,2024,north_america,"This is the body text of document D047 in department finance for region north_america and year 2024."
